Title,fulltitle,movie_year,Categories,summary,"Image URL",imdb_id,imdb_rating,runtime,language,ytid
"Being Julia","Being Julia (2004)",2004,Comedy|Drama|Romance,"1938. Julia Lambert and Michael Gosselyn are the royal couple of the London theater scene, Julia an actress and Michael a former actor who took over running the theater and its troupe upon the passing of their mentor, Jimmie Langton. Jimmie is still constantly with Julia in spirit as she navigates through life. Besides their work, Julia and Michael lead largely separate lives, they long ago having stopped a sexual relationship. Julia of late has been feeling disenchanted with her life, she not wanting to admit it's because she is approaching middle age. Her disenchantment manifests itself in wanting Michael to close their current production early so that she can recharge her juices, something he is reluctant to do if only for not wanting to let the theater sit empty. What Julia ends up doing instead is embarking on an affair with Tom Fennel, an adoring young American who is young enough to be her son. As Julia and Tom's relationship progresses, the more she falls in love with him and ...",https://hydramovies.com/wp-content/uploads/2018/04/Being-Julia-Movie-Poster.jpg,tt0340012,7,104,English,quzIsJq7t08
"Trouble Is My Business","Trouble Is My Business (2018)",2018,Action|Adventure|Crime|Mystery|Thriller,"Los Angeles in 1947, everything should be sunny, but the smog creates a fog, a haze that permeates not just the lungs, but the psyches. Private eye Roland Drake cracks cases and romances femme fatales, while corrupt cops rule the underworld of the city and moral lines are anything but black and white. A dark, hard-boiled tale of love and betrayal, told in the classic style of film noir. Drake has fallen on hard times in a harsh world. He has been evicted from his office and disgraced by a missing persons case. Ruined in the public eye and with the police. it seems like it's all over for Roland Drake. Then, redemption walks in - with curves. The owner of those curves is a sexy, dark haired beauty named Katherine Montemar. She wants his help. The chemistry is immediate and her concern for the disappearance of her family members pulls him into her case - and into bed. He wakes up to her missing too, and a pool of blood where she used to be. After a nervous encounter with the equally ...",https://hydramovies.com/wp-content/uploads/2018/04/Trouble-Is-My-Business-Movie-Poster.jpg,tt2243900,6.1,116,English,SqUEOsQf6hM
"Outside In","Outside In (2017)",2017,Drama,"An ex-con struggling to readjust to life in his small town forms an intense bond with his former high school teacher.",https://hydramovies.com/wp-content/uploads/2018/04/Outside-In-Movie-Poster.jpg,tt7260048,6.4,109,English,s0SdJfplC80
"Froning: The Fittest Man in History","Froning: The Fittest Man in History (2015)",2015,Documentary,"Rich Froning Jr. is a legend in CrossFit and the Sport of Fitness. In this biopic, take a look at his childhood, follow his quest for a fourth CrossFit Games title, and see him as a son, a husband and a new father.",https://hydramovies.com/wp-content/uploads/2018/04/Froning-The-Fittest-Man-in-History-Movie-Poster.jpg,tt5079382,6.7,99,English,D1ze-f7jS2A
Elizabethtown,"Elizabethtown (2005)",2005,Comedy|Drama|Romance,"After causing a loss of almost one billion dollars in his company, the shoe designer Drew Baylor decides to commit suicide. However, in the exact moment of his act of despair, he receives a phone call from his sister telling him that his beloved father had just died in Elizabethtown, and he should bring him back since his mother had problem with the relatives of his father. He travels in an empty red eye flight and meets the attendant Claire Colburn, who changes his view and perspective of life.",https://hydramovies.com/wp-content/uploads/2018/04/Elizabethtown-Movie-Poster.jpg,tt0368709,6.4,123,English,qyPq2BS8Ug0
"The Other Side of Heaven","The Other Side of Heaven (2001)",2001,Adventure|Biography|Drama,"John H. Groberg, a middle class kid from Idaho Falls, crosses the Pacific to become a Mormon missionary in the remote and exotic Tongan island kingdom during the 1950's. He leaves behind a loving family and the true love of his life, Jean. Through letters and musings across the miles, John shares his humbling and sometimes hilarious adventures with ""the girl back home"", and her letters buoy up his spirits in difficult times. John must struggle to overcome language barriers, physical hardship and deep-rooted suspicion to earn the trust and love of the Tongan people he has come to serve. Throughout his adventure-filled three years on the islands, he discovers friends and wisdom in the most unlikely places. John H. Groberg's Tongan odyssey will change his life forever.",https://hydramovies.com/wp-content/uploads/2018/04/The-Other-Side-of-Heaven-Movie-Poster.jpg,tt0250371,6.5,113,English,5dKsHYzIoUI
"Sons of Ben","Sons of Ben (2016)",2016,Biography|Documentary|Sport,"After many rumors of an MLS team arriving in Philadelphia never materializing, a small group of soccer fans took matters into their own hands and started a supporters group called the Sons of Ben to help bring a team to their hometown. They were a group without a team to root for and had a modest goal of reaching 100 members by the end of the year. Little did they know they would reach over 1,500 members in less time than that and start a movement that would not only change the soccer landscape in Philadelphia forever, but also help revive a community that had been struggling for decades.",https://hydramovies.com/wp-content/uploads/2018/04/Sons-of-Ben-Movie-Poster.jpg,tt2317088,7.8,75,English,m8I_pgCaRsM
"12 Strong","12 Strong (2018)",2018,Action|Drama|History|War,"The True Story of the Army's Special Forces ""Green Berets"", who within weeks responded to the 9-11 attack. Green Berets, with the help of the 160th SOAR(A), took over the country and allowed other Special Forces and the rest of the conventional military to begin the more publicly visible war.",https://hydramovies.com/wp-content/uploads/2018/04/12-Strong-Movie-Poster.jpg,tt1413492,6.7,130,English,-Denciie5oA
"The Commuter","The Commuter (2018)",2018,Action|Crime|Drama|Mystery|Thriller,"Now a hard-working life insurance salesman and a caring family man, the former police officer, Michael MacCauley, has taken the commuter rail to New York for the past ten years. But, unexpectedly, things will take a turn for the worse, when on one of his daily journeys, the cryptic passenger, Joanna, makes Michael a generous and tempting offer to locate a single commuter or face grave consequences. Is this a sick joke, or is this indeed a serious situation? As Michael races against the clock to solve this wicked conundrum, everyone aboard is a suspect, in a deal where there's definitely more than meets the eye. Can he decide in time who's the one?",https://hydramovies.com/wp-content/uploads/2018/04/The-Commuter-Movie-Poster.jpg,tt1590193,6.3,105,English,WWexI9YiLSc
Birdshot,"Birdshot (2016)",2016,Drama|Mystery|Thriller,"""Birdshot"" is a mystery-thriller film that tells a story of a young Filipina farm girl who wanders into the boundaries of a Philippine reservation forest. Deep within the reservation she mistakenly shoots and kills a critically endangered and protected Philippine Eagle. As the local authorities begin a manhunt to track down the poacher of a national bird, their investigation leads them to an even more horrific discovery.",https://hydramovies.com/wp-content/uploads/2018/04/Birdshot-Movie-Poster.jpg,tt6135042,6.8,116,English,7k8h_X3GjgM
